Timestamp_IST,Symbol,State,Regime,Open,High,Low,Close,Volume,Velocity_10m,ATR_14,Trend_20,Would_ACTION,Reason
2025-12-28 08:00:00,BTC/USD,WAIT,LOW_VOL,87728.5,87728.8,87728.5,87728.7,0.02276217,0.0000,0.0000,0,-,-
2025-12-28 08:00:00,ETH/USD,WAIT,LOW_VOL,2944.78,2944.78,2944.61,2944.61,1.75017182,0.0000,0.0000,0,-,-
2025-12-28 08:00:00,SOL/USD,WAIT,LOW_VOL,124.1,124.11,124.08,124.1,11.48643629,0.0000,0.0000,0,-,-
2025-12-28 08:00:00,DOGE/USD,WAIT,LOW_VOL,0.1241241,0.1241241,0.1241241,0.1241241,0.0,0.0000,0.0000,0,-,-
2025-12-28 08:00:00,PEPE/USD,WAIT,LOW_VOL,4.156e-06,4.157e-06,4.156e-06,4.157e-06,104117221.0,0.0000,0.0000,0,-,-
2025-12-28 08:00:00,WIF/USD,WAIT,LOW_VOL,0.3167,0.3167,0.3167,0.3167,269.75235,0.0000,0.0000,0,-,-
2025-12-28 08:00:00,SHIB/USD,WAIT,LOW_VOL,7.36e-06,7.36e-06,7.36e-06,7.36e-06,0.0,0.0000,0.0000,0,-,-
2025-12-28 08:00:00,BONK/USD,WAIT,LOW_VOL,8.057e-06,8.057e-06,8.057e-06,8.057e-06,49503981.0,0.0000,0.0000,0,-,-
2025-12-28 08:00:00,NEAR/USD,WAIT,LOW_VOL,1.59,1.59,1.59,1.59,0.0,0.0000,0.0000,0,-,-
2025-12-28 08:00:00,FET/USD,WAIT,LOW_VOL,0.2155,0.2155,0.2155,0.2155,347.87318345,0.0000,0.0000,0,-,-
2025-12-28 08:01:00,BTC/USD,WAIT,LOW_VOL,87728.8,87732.2,87728.7,87732.2,0.08882153,0.0040,0.0000,0,-,-
2025-12-28 08:01:00,ETH/USD,WAIT,LOW_VOL,2944.6,2945.56,2944.6,2945.55,0.41882676,0.0319,0.0000,0,-,-
2025-12-28 08:01:00,SOL/USD,WAIT,LOW_VOL,124.12,124.19,124.12,124.19,7.1137311,0.0725,0.0000,0,-,-
2025-12-28 08:01:00,DOGE/USD,WAIT,LOW_VOL,0.1240979,0.1241123,0.1240979,0.1241123,41.47,-0.0095,0.0000,0,-,-
2025-12-28 08:01:00,PEPE/USD,WAIT,LOW_VOL,4.158e-06,4.162e-06,4.158e-06,4.162e-06,12002632.0,0.1203,0.0000,0,-,-
2025-12-28 08:01:00,WIF/USD,WAIT,LOW_VOL,0.3169,0.3169,0.3169,0.3169,1569.80045,0.0632,0.0000,0,-,-
2025-12-28 08:01:00,SHIB/USD,WAIT,LOW_VOL,7.36e-06,7.36e-06,7.36e-06,7.36e-06,0.0,0.0000,0.0000,0,-,-
2025-12-28 08:01:00,BONK/USD,WAIT,LOW_VOL,8.057e-06,8.057e-06,8.057e-06,8.057e-06,0.0,0.0000,0.0000,0,-,-
2025-12-28 08:01:00,NEAR/USD,WAIT,LOW_VOL,1.59,1.59,1.59,1.59,0.0,0.0000,0.0000,0,-,-
2025-12-28 08:01:00,FET/USD,WAIT,LOW_VOL,0.2155,0.2155,0.2155,0.2155,0.0,0.0000,0.0000,0,-,-
2025-12-28 08:02:00,BTC/USD,WAIT,CHOP,87732.1,87748.2,87732.1,87748.2,0.9630412,0.0222,0.0000,0,-,-
2025-12-28 08:02:00,ETH/USD,WAIT,CHOP,2945.56,2946.31,2945.56,2946.31,0.20928656,0.0577,0.0000,0,-,-
2025-12-28 08:02:00,SOL/USD,WAIT,CHOP,124.19,124.2,124.19,124.2,1.69622806,0.0806,0.0000,0,-,-
2025-12-28 08:02:00,DOGE/USD,WAIT,CHOP,0.1241698,0.1241698,0.1241286,0.1241286,191.23462329,0.0036,0.0000,0,-,-
2025-12-28 08:02:00,PEPE/USD,WAIT,CHOP,4.163e-06,4.166e-06,4.163e-06,4.166e-06,5192456.52,0.2165,0.0000,0,-,-
2025-12-28 08:02:00,WIF/USD,WAIT,CHOP,0.3169,0.3169,0.3169,0.3169,0.0,0.0632,0.0000,0,-,-
2025-12-28 08:02:00,SHIB/USD,WAIT,CHOP,7.37e-06,7.37e-06,7.35e-06,7.36e-06,16204899.98778,0.0000,0.0000,0,-,-
2025-12-28 08:02:00,BONK/USD,WAIT,CHOP,8.068e-06,8.072e-06,8.068e-06,8.072e-06,372098075.364,0.1862,0.0000,0,-,-
2025-12-28 08:02:00,NEAR/USD,WAIT,CHOP,1.59,1.59,1.59,1.59,0.0,0.0000,0.0000,0,-,-
2025-12-28 08:02:00,FET/USD,WAIT,CHOP,0.2159,0.216,0.2159,0.2159,4637.97810384,0.1856,0.0000,0,-,-
2025-12-28 08:03:00,BTC/USD,WAIT,CHOP,87749.2,87779.0,87749.2,87779.0,0.2100766,0.0573,0.0000,0,-,-
