Symbol,Timestamp_IST,Open,High,Low,Close,Volume
BTC/USD,2025-12-26 08:00:00,89999.9484101887,89999.9484101887,89999.9484101887,89999.9484101887,1000
ETH/USD,2025-12-26 08:00:00,2999.9751362750594,2999.9751362750594,2999.9751362750594,2999.9751362750594,1000
SOL/USD,2025-12-26 08:00:00,150.00066920779085,150.00066920779085,150.00066920779085,150.00066920779085,1000
DOGE/USD,2025-12-26 08:00:00,0.15000079263577423,0.15000079263577423,0.15000079263577423,0.15000079263577423,1000
PEPE/USD,2025-12-26 08:00:00,9.999960309243657e-06,9.999960309243657e-06,9.999960309243657e-06,9.999960309243657e-06,1000
WIF/USD,2025-12-26 08:00:00,2.000014130372109,2.000014130372109,2.000014130372109,2.000014130372109,1000
SHIB/USD,2025-12-26 08:00:00,2.0000161378699498e-05,2.0000161378699498e-05,2.0000161378699498e-05,2.0000161378699498e-05,1000
BONK/USD,2025-12-26 08:00:00,1.9999909664697538e-05,1.9999909664697538e-05,1.9999909664697538e-05,1.9999909664697538e-05,1000
NEAR/USD,2025-12-26 08:00:00,4.999982479926364,4.999982479926364,4.999982479926364,4.999982479926364,1000
FET/USD,2025-12-26 08:00:00,1.5000077704278656,1.5000077704278656,1.5000077704278656,1.5000077704278656,1000
BTC/USD,2025-12-26 08:00:02,89999.66123115015,89999.66123115015,89999.66123115015,89999.66123115015,1000
ETH/USD,2025-12-26 08:00:02,2999.966250855941,2999.966250855941,2999.966250855941,2999.966250855941,1000
SOL/USD,2025-12-26 08:00:02,150.00142672635818,150.00142672635818,150.00142672635818,150.00142672635818,1000
DOGE/USD,2025-12-26 08:00:02,0.14999904381937879,0.14999904381937879,0.14999904381937879,0.14999904381937879,1000
PEPE/USD,2025-12-26 08:00:02,1.0000111430681144e-05,1.0000111430681144e-05,1.0000111430681144e-05,1.0000111430681144e-05,1000
WIF/USD,2025-12-26 08:00:02,2.0000271867921913,2.0000271867921913,2.0000271867921913,2.0000271867921913,1000
SHIB/USD,2025-12-26 08:00:02,2.000034909324561e-05,2.000034909324561e-05,2.000034909324561e-05,2.000034909324561e-05,1000
